TEAM_NAME,FG3M,FG3A,FG3_PCT,W_RANK,SEASON
Memphis Grizzlies,447,1314,0.34,8,2003-04
Miami Heat,485,1357,0.357,12,2003-04
Milwaukee Bucks,401,1145,0.35,14,2003-04
Minnesota Timberwolves,326,897,0.363,2,2003-04
New Jersey Nets,377,1123,0.336,9,2003-04
New Orleans Hornets,531,1666,0.319,14,2003-04
New York Knicks,406,1115,0.364,17,2003-04
Orlando Magic,429,1248,0.344,29,2003-04
Philadelphia 76ers,339,992,0.342,22,2003-04
Phoenix Suns,415,1202,0.345,24,2003-04
Portland Trail Blazers,381,1102,0.346,14,2003-04
Sacramento Kings,601,1498,0.401,5,2003-04
San Antonio Spurs,408,1140,0.358,3,2003-04
Seattle SuperSonics,723,1936,0.373,18,2003-04
Toronto Raptors,461,1294,0.356,22,2003-04
Utah Jazz,252,786,0.321,12,2003-04
Washington Wizards,434,1270,0.342,27,2003-04
Atlanta Hawks,304,973,0.312,30,2004-05
Boston Celtics,437,1252,0.349,11,2004-05
Charlotte Bobcats,320,881,0.363,28,2004-05
Chicago Bulls,511,1433,0.357,10,2004-05
Cleveland Cavaliers,300,904,0.332,17,2004-05
Dallas Mavericks,463,1273,0.364,4,2004-05
Denver Nuggets,320,940,0.34,9,2004-05
Detroit Pistons,363,1053,0.345,5,2004-05
Golden State Warriors,624,1774,0.352,21,2004-05
Houston Rockets,553,1521,0.364,7,2004-05
Indiana Pacers,542,1575,0.344,14,2004-05
Los Angeles Clippers,231,669,0.345,19,2004-05
Los Angeles Lakers,644,1813,0.355,21,2004-05
Memphis Grizzlies,531,1486,0.357,11,2004-05
Miami Heat,475,1260,0.377,2,2004-05
Milwaukee Bucks,325,925,0.351,25,2004-05
Minnesota Timberwolves,395,1145,0.345,14,2004-05
New Jersey Nets,435,1203,0.362,17,2004-05
New Orleans Hornets,415,1316,0.315,28,2004-05
New York Knicks,441,1240,0.356,23,2004-05
Orlando Magic,320,916,0.349,20,2004-05
Philadelphia 76ers,505,1453,0.348,16,2004-05
Phoenix Suns,796,2026,0.393,1,2004-05
Portland Trail Blazers,420,1161,0.362,26,2004-05
Sacramento Kings,522,1396,0.374,8,2004-05
San Antonio Spurs,507,1395,0.363,2,2004-05
Seattle SuperSonics,666,1824,0.365,6,2004-05
Toronto Raptors,648,1681,0.385,23,2004-05
Utah Jazz,250,762,0.328,27,2004-05
Washington Wizards,514,1498,0.343,11,2004-05
Atlanta Hawks,424,1154,0.367,27,2005-06
Boston Celtics,467,1290,0.362,24,2005-06
Charlotte Bobcats,428,1261,0.339,27,2005-06
Chicago Bulls,560,1477,0.379,14,2005-06
Cleveland Cavaliers,497,1465,0.339,6,2005-06
Dallas Mavericks,416,1113,0.374,3,2005-06
Denver Nuggets,350,1076,0.325,11,2005-06
Detroit Pistons,557,1451,0.384,1,2005-06
Golden State Warriors,625,1832,0.341,22,2005-06
Houston Rockets,469,1414,0.332,22,2005-06
Indiana Pacers,536,1536,0.349,14,2005-06
Los Angeles Clippers,290,843,0.344,9,2005-06
Los Angeles Lakers,552,1583,0.349,10,2005-06
Memphis Grizzlies,590,1578,0.374,7,2005-06
Miami Heat,497,1441,0.345,5,2005-06
Milwaukee Bucks,507,1335,0.38,17,2005-06
Minnesota Timberwolves,310,942,0.329,24,2005-06
New Jersey Nets,477,1447,0.33,7,2005-06
New Orleans/Oklahoma City Hornets,300,885,0.339,18,2005-06
New York Knicks,320,884,0.362,29,2005-06
Orlando Magic,299,796,0.376,20,2005-06
Philadelphia 76ers,375,1031,0.364,18,2005-06
Phoenix Suns,837,2097,0.399,4,2005-06
Portland Trail Blazers,364,1042,0.349,30,2005-06
Sacramento Kings,494,1408,0.351,11,2005-06
San Antonio Spurs,524,1362,0.385,2,2005-06
Seattle SuperSonics,605,1631,0.371,21,2005-06
Toronto Raptors,608,1620,0.375,26,2005-06
Utah Jazz,311,925,0.336,14,2005-06
Washington Wizards,497,1394,0.357,13,2005-06
Atlanta Hawks,341,1038,0.329,27,2006-07
Boston Celtics,471,1283,0.367,29,2006-07
Charlotte Bobcats,457,1280,0.357,21,2006-07
Chicago Bulls,480,1237,0.388,8,2006-07
Cleveland Cavaliers,494,1404,0.352,7,2006-07
Dallas Mavericks,535,1404,0.381,1,2006-07
Denver Nuggets,484,1440,0.336,10,2006-07
Detroit Pistons,449,1305,0.344,4,2006-07
Golden State Warriors,700,1966,0.356,12,2006-07
Houston Rockets,705,1893,0.372,5,2006-07
Indiana Pacers,481,1389,0.346,19,2006-07
Los Angeles Clippers,314,903,0.348,16,2006-07
Los Angeles Lakers,608,1724,0.353,12,2006-07
Memphis Grizzlies,500,1362,0.367,30,2006-07
Miami Heat,528,1539,0.343,11,2006-07
Milwaukee Bucks,524,1472,0.356,28,2006-07
Minnesota Timberwolves,384,1089,0.353,24,2006-07
New Jersey Nets,609,1676,0.363,14,2006-07
New Orleans/Oklahoma City Hornets,455,1256,0.362,18,2006-07
New York Knicks,474,1370,0.346,21,2006-07
Orlando Magic,342,962,0.356,16,2006-07
Philadelphia 76ers,284,823,0.345,19,2006-07
Phoenix Suns,785,1965,0.399,2,2006-07
Portland Trail Blazers,426,1232,0.346,24,2006-07
Sacramento Kings,530,1513,0.35,21,2006-07
San Antonio Spurs,595,1561,0.381,3,2006-07
Seattle SuperSonics,525,1451,0.362,26,2006-07
Toronto Raptors,531,1464,0.363,9,2006-07
Utah Jazz,354,1056,0.335,6,2006-07
Washington Wizards,561,1614,0.348,14,2006-07
Atlanta Hawks,384,1078,0.356,19,2007-08
Boston Celtics,596,1564,0.381,1,2007-08
Charlotte Bobcats,529,1443,0.367,23,2007-08
Chicago Bulls,474,1305,0.363,22,2007-08
Cleveland Cavaliers,552,1544,0.358,13,2007-08
Dallas Mavericks,494,1403,0.352,10,2007-08
Denver Nuggets,569,1605,0.355,11,2007-08
Detroit Pistons,487,1330,0.366,2,2007-08
Golden State Warriors,761,2185,0.348,12,2007-08
Houston Rockets,583,1707,0.342,6,2007-08
Indiana Pacers,755,2021,0.374,20,2007-08
Los Angeles Clippers,350,1079,0.324,25,2007-08
Los Angeles Lakers,662,1751,0.378,3,2007-08
Memphis Grizzlies,620,1779,0.349,27,2007-08
Miami Heat,491,1373,0.358,30,2007-08
Milwaukee Bucks,452,1313,0.344,24,2007-08
Minnesota Timberwolves,441,1259,0.35,27,2007-08
New Jersey Nets,498,1430,0.348,21,2007-08
New Orleans Hornets,630,1621,0.389,4,2007-08
New York Knicks,490,1454,0.337,25,2007-08
Orlando Magic,801,2074,0.386,9,2007-08
Philadelphia 76ers,302,952,0.317,17,2007-08
Phoenix Suns,694,1764,0.393,6,2007-08
Portland Trail Blazers,538,1426,0.377,15,2007-08
Sacramento Kings,510,1367,0.373,18,2007-08
San Antonio Spurs,594,1610,0.369,4,2007-08
Seattle SuperSonics,313,939,0.333,29,2007-08
Toronto Raptors,572,1459,0.392,15,2007-08
Utah Jazz,407,1095,0.372,8,2007-08
Washington Wizards,575,1614,0.356,14,2007-08
Atlanta Hawks,597,1633,0.366,12,2008-09
Boston Celtics,538,1355,0.397,3,2008-09
Charlotte Bobcats,490,1339,0.366,19,2008-09
Chicago Bulls,493,1293,0.381,15,2008-09
Cleveland Cavaliers,656,1670,0.393,1,2008-09
Dallas Mavericks,571,1632,0.35,9,2008-09
Denver Nuggets,548,1477,0.371,5,2008-09
Detroit Pistons,377,1079,0.349,17,2008-09
Golden State Warriors,550,1475,0.373,24,2008-09
Houston Rockets,621,1656,0.375,8,2008-09
Indiana Pacers,652,1725,0.378,18,2008-09
Los Angeles Clippers,535,1513,0.354,28,2008-09
Los Angeles Lakers,547,1516,0.361,2,2008-09
Memphis Grizzlies,398,1106,0.36,25,2008-09
Miami Heat,582,1631,0.357,14,2008-09
Milwaukee Bucks,511,1408,0.363,20,2008-09
Minnesota Timberwolves,543,1539,0.353,25,2008-09
New Jersey Nets,652,1735,0.376,20,2008-09
New Orleans Hornets,556,1526,0.364,10,2008-09
New York Knicks,823,2284,0.36,23,2008-09
Oklahoma City Thunder,328,949,0.346,27,2008-09
Orlando Magic,817,2147,0.381,4,2008-09
Philadelphia 76ers,341,1072,0.318,15,2008-09
Phoenix Suns,553,1445,0.383,13,2008-09
Portland Trail Blazers,596,1555,0.383,5,2008-09
Sacramento Kings,586,1594,0.368,30,2008-09
San Antonio Spurs,625,1620,0.386,5,2008-09
Toronto Raptors,479,1289,0.372,22,2008-09
Utah Jazz,392,1122,0.349,11,2008-09
Washington Wizards,395,1198,0.33,28,2008-09
Atlanta Hawks,524,1455,0.36,6,2009-10
Boston Celtics,499,1433,0.348,9,2009-10
Charlotte Bobcats,460,1331,0.346,15,2009-10
Chicago Bulls,352,1066,0.33,17,2009-10
Cleveland Cavaliers,602,1582,0.381,1,2009-10
Dallas Mavericks,558,1498,0.372,4,2009-10
Denver Nuggets,544,1517,0.359,6,2009-10
Detroit Pistons,374,1190,0.314,24,2009-10
Golden State Warriors,633,1687,0.375,26,2009-10
Houston Rockets,646,1838,0.351,16,2009-10
Indiana Pacers,659,1896,0.348,21,2009-10
Los Angeles Clippers,483,1457,0.332,22,2009-10
Los Angeles Lakers,532,1562,0.341,3,2009-10
Memphis Grizzlies,344,1020,0.337,18,2009-10
Miami Heat,494,1426,0.346,13,2009-10
Milwaukee Bucks,645,1813,0.356,14,2009-10
Minnesota Timberwolves,403,1181,0.341,29,2009-10
New Jersey Nets,377,1185,0.318,30,2009-10
New Orleans Hornets,571,1572,0.363,20,2009-10
New York Knicks,743,2145,0.346,22,2009-10
Oklahoma City Thunder,418,1229,0.34,9,2009-10
Orlando Magic,841,2241,0.375,2,2009-10
Philadelphia 76ers,474,1381,0.343,24,2009-10
Phoenix Suns,730,1770,0.412,5,2009-10
Portland Trail Blazers,491,1388,0.354,9,2009-10
Sacramento Kings,482,1383,0.349,28,2009-10
San Antonio Spurs,554,1547,0.358,9,2009-10
Toronto Raptors,518,1397,0.371,18,2009-10
Utah Jazz,439,1207,0.364,6,2009-10
Washington Wizards,432,1225,0.353,26,2009-10
Atlanta Hawks,502,1427,0.352,13,2010-11
Boston Celtics,408,1119,0.365,6,2010-11
Charlotte Bobcats,393,1203,0.327,22,2010-11
Chicago Bulls,511,1415,0.361,1,2010-11
Cleveland Cavaliers,509,1489,0.342,29,2010-11
Dallas Mavericks,645,1768,0.365,4,2010-11
Denver Nuggets,662,1704,0.388,9,2010-11
Detroit Pistons,472,1256,0.376,24,2010-11
Golden State Warriors,685,1749,0.392,20,2010-11
Houston Rockets,677,1843,0.367,14,2010-11
Indiana Pacers,585,1653,0.354,19,2010-11
Los Angeles Clippers,513,1519,0.338,23,2010-11
Los Angeles Lakers,524,1487,0.352,4,2010-11
Memphis Grizzlies,309,926,0.334,11,2010-11
Miami Heat,547,1479,0.37,3,2010-11
Milwaukee Bucks,483,1414,0.342,21,2010-11
Minnesota Timberwolves,589,1565,0.376,30,2010-11
New Jersey Nets,459,1337,0.343,25,2010-11
New Orleans Hornets,444,1232,0.36,11,2010-11
New York Knicks,765,2081,0.368,15,2010-11
Oklahoma City Thunder,487,1403,0.347,7,2010-11
Orlando Magic,770,2103,0.366,8,2010-11
Philadelphia 76ers,443,1248,0.355,16,2010-11
Phoenix Suns,701,1857,0.377,17,2010-11
Portland Trail Blazers,518,1503,0.345,10,2010-11
Sacramento Kings,428,1277,0.335,25,2010-11
San Antonio Spurs,685,1727,0.397,2,2010-11
Toronto Raptors,345,1091,0.316,28,2010-11
Utah Jazz,435,1256,0.346,18,2010-11
Washington Wizards,392,1182,0.332,27,2010-11
Atlanta Hawks,492,1330,0.37,8,2011-12
Boston Celtics,363,988,0.367,10,2011-12
Charlotte Bobcats,263,892,0.295,30,2011-12
Chicago Bulls,419,1117,0.375,1,2011-12
Cleveland Cavaliers,440,1273,0.346,27,2011-12
Dallas Mavericks,497,1464,0.339,13,2011-12
Denver Nuggets,435,1311,0.332,11,2011-12
Detroit Pistons,317,916,0.346,22,2011-12
Golden State Warriors,524,1351,0.388,23,2011-12
Houston Rockets,478,1330,0.359,17,2011-12
Indiana Pacers,392,1064,0.368,5,2011-12
Los Angeles Clippers,514,1441,0.357,8,2011-12
Los Angeles Lakers,362,1112,0.326,6,2011-12
Memphis Grizzlies,277,849,0.326,6,2011-12
Miami Heat,370,1030,0.359,4,2011-12
Milwaukee Bucks,436,1265,0.345,19,2011-12
Minnesota Timberwolves,473,1423,0.332,21,2011-12
New Jersey Nets,507,1481,0.342,25,2011-12
New Orleans Hornets,259,777,0.333,27,2011-12
New York Knicks,517,1538,0.336,13,2011-12
Oklahoma City Thunder,472,1317,0.358,3,2011-12
Orlando Magic,670,1785,0.375,12,2011-12
Philadelphia 76ers,349,963,0.362,16,2011-12
Phoenix Suns,444,1295,0.343,18,2011-12
Portland Trail Blazers,478,1382,0.346,20,2011-12
Sacramento Kings,411,1301,0.316,25,2011-12
San Antonio Spurs,552,1405,0.393,1,2011-12
Toronto Raptors,365,1075,0.34,23,2011-12
Utah Jazz,273,845,0.323,13,2011-12
Washington Wizards,344,1075,0.32,29,2011-12
Atlanta Hawks,706,1901,0.371,14,2012-13
Boston Celtics,498,1390,0.358,16,2012-13
Brooklyn Nets,628,1760,0.357,8,2012-13
Charlotte Bobcats,469,1399,0.335,29,2012-13
Chicago Bulls,446,1265,0.353,11,2012-13
Cleveland Cavaliers,547,1581,0.346,28,2012-13
Dallas Mavericks,606,1628,0.372,16,2012-13
Denver Nuggets,521,1518,0.343,4,2012-13
Detroit Pistons,513,1440,0.356,23,2012-13
Golden State Warriors,658,1632,0.403,10,2012-13
Houston Rockets,867,2369,0.366,11,2012-13
Indiana Pacers,555,1599,0.347,8,2012-13
Los Angeles Clippers,627,1752,0.358,5,2012-13
Los Angeles Lakers,715,2015,0.355,11,2012-13
Memphis Grizzlies,382,1107,0.345,5,2012-13
Miami Heat,717,1809,0.396,1,2012-13
Milwaukee Bucks,601,1670,0.36,18,2012-13
Minnesota Timberwolves,450,1475,0.305,22,2012-13
New Orleans Hornets,535,1474,0.363,26,2012-13
New York Knicks,891,2371,0.376,7,2012-13
Oklahoma City Thunder,598,1588,0.377,2,2012-13
Orlando Magic,506,1537,0.329,30,2012-13
Philadelphia 76ers,518,1438,0.36,19,2012-13
Phoenix Suns,480,1455,0.33,27,2012-13
Portland Trail Blazers,673,1904,0.353,21,2012-13
Sacramento Kings,610,1681,0.363,25,2012-13
San Antonio Spurs,663,1764,0.376,3,2012-13
Toronto Raptors,571,1665,0.343,19,2012-13
Utah Jazz,507,1385,0.366,15,2012-13
Washington Wizards,545,1495,0.365,23,2012-13
Atlanta Hawks,768,2116,0.363,18,2013-14
Boston Celtics,575,1729,0.333,26,2013-14
Brooklyn Nets,709,1922,0.369,14,2013-14
Charlotte Bobcats,516,1471,0.351,16,2013-14
Chicago Bulls,508,1459,0.348,11,2013-14
Cleveland Cavaliers,584,1640,0.356,22,2013-14
Dallas Mavericks,721,1877,0.384,10,2013-14
Denver Nuggets,702,1959,0.358,20,2013-14
Detroit Pistons,507,1580,0.321,23,2013-14
Golden State Warriors,774,2037,0.38,8,2013-14
Houston Rockets,779,2179,0.358,5,2013-14
Indiana Pacers,550,1542,0.357,4,2013-14
Los Angeles Clippers,693,1966,0.352,3,2013-14
Los Angeles Lakers,774,2032,0.381,25,2013-14
Memphis Grizzlies,405,1147,0.353,9,2013-14
Miami Heat,665,1829,0.364,5,2013-14
Milwaukee Bucks,548,1553,0.353,30,2013-14
Minnesota Timberwolves,600,1757,0.341,17,2013-14
New Orleans Pelicans,486,1303,0.373,21,2013-14
New York Knicks,759,2038,0.372,19,2013-14
Oklahoma City Thunder,664,1839,0.361,2,2013-14
Orlando Magic,563,1596,0.353,28,2013-14
Philadelphia 76ers,577,1847,0.312,29,2013-14
Phoenix Suns,765,2055,0.372,11,2013-14
Portland Trail Blazers,770,2071,0.372,5,2013-14
Sacramento Kings,491,1475,0.333,24,2013-14
San Antonio Spurs,698,1757,0.397,1,2013-14
Toronto Raptors,713,1917,0.372,11,2013-14
Utah Jazz,543,1577,0.344,26,2013-14
Washington Wizards,647,1704,0.38,14,2013-14
Atlanta Hawks,818,2152,0.38,2,2014-15
Boston Celtics,660,2021,0.327,16,2014-15
Brooklyn Nets,541,1633,0.331,18,2014-15
Charlotte Hornets,498,1566,0.318,22,2014-15
Chicago Bulls,645,1825,0.353,9,2014-15
Cleveland Cavaliers,826,2253,0.367,7,2014-15
Dallas Mavericks,732,2082,0.352,9,2014-15
Denver Nuggets,660,2032,0.325,24,2014-15
Detroit Pistons,703,2043,0.344,23,2014-15
Golden State Warriors,883,2217,0.398,1,2014-15
Houston Rockets,933,2680,0.348,3,2014-15
Indiana Pacers,612,1740,0.352,18,2014-15
Los Angeles Clippers,827,2202,0.376,3,2014-15
Los Angeles Lakers,532,1546,0.344,27,2014-15
