TEAM_NAME,FG3M,FG3A,FG3_PCT,W_RANK,SEASON,year,Champion
Atlanta Hawks,659,1833,0.36,7,1996-97,1996-97,Utah Jazz
Boston Celtics,467,1331,0.351,28,1996-97,1996-97,Utah Jazz
Charlotte Hornets,591,1382,0.428,9,1996-97,1996-97,Utah Jazz
Chicago Bulls,523,1403,0.373,1,1996-97,1996-97,Utah Jazz
Cleveland Cavaliers,483,1284,0.376,14,1996-97,1996-97,Utah Jazz
Dallas Mavericks,429,1315,0.326,24,1996-97,1996-97,Utah Jazz
Denver Nuggets,636,1711,0.372,26,1996-97,1996-97,Utah Jazz
Detroit Pistons,582,1499,0.388,9,1996-97,1996-97,Utah Jazz
Golden State Warriors,481,1363,0.353,21,1996-97,1996-97,Utah Jazz
Houston Rockets,671,1839,0.365,4,1996-97,1996-97,Utah Jazz
Indiana Pacers,430,1130,0.381,17,1996-97,1996-97,Utah Jazz
Los Angeles Clippers,474,1339,0.354,18,1996-97,1996-97,Utah Jazz
Los Angeles Lakers,551,1500,0.367,7,1996-97,1996-97,Utah Jazz
Miami Heat,678,1865,0.364,3,1996-97,1996-97,Utah Jazz
Milwaukee Bucks,324,920,0.352,20,1996-97,1996-97,Utah Jazz
Minnesota Timberwolves,371,1093,0.339,15,1996-97,1996-97,Utah Jazz
New Jersey Nets,484,1371,0.353,23,1996-97,1996-97,Utah Jazz
New York Knicks,470,1294,0.363,4,1996-97,1996-97,Utah Jazz
Orlando Magic,567,1662,0.341,12,1996-97,1996-97,Utah Jazz
Philadelphia 76ers,433,1356,0.319,25,1996-97,1996-97,Utah Jazz
Phoenix Suns,527,1428,0.369,15,1996-97,1996-97,Utah Jazz
Portland Trail Blazers,501,1401,0.358,11,1996-97,1996-97,Utah Jazz
Sacramento Kings,414,1058,0.391,19,1996-97,1996-97,Utah Jazz
San Antonio Spurs,378,1180,0.32,27,1996-97,1996-97,Utah Jazz
Seattle SuperSonics,559,1583,0.353,4,1996-97,1996-97,Utah Jazz
Toronto Raptors,589,1624,0.363,21,1996-97,1996-97,Utah Jazz
Utah Jazz,334,902,0.37,2,1996-97,1996-97,Utah Jazz
