TEAM_NAME,FG3M,FG3A,FG3_PCT,W_RANK,SEASON,year,Champion
Charlotte Hornets,824,2347,0.351,20,2016-17,2016-17,Golden State Warriors
Chicago Bulls,623,1831,0.34,15,2016-17,2016-17,Golden State Warriors
Cleveland Cavaliers,1067,2779,0.384,5,2016-17,2016-17,Golden State Warriors
Dallas Mavericks,878,2473,0.355,22,2016-17,2016-17,Golden State Warriors
Denver Nuggets,870,2365,0.368,18,2016-17,2016-17,Golden State Warriors
Detroit Pistons,631,1915,0.33,19,2016-17,2016-17,Golden State Warriors
Golden State Warriors,982,2562,0.383,1,2016-17,2016-17,Golden State Warriors
Houston Rockets,1181,3306,0.357,3,2016-17,2016-17,Golden State Warriors
Indiana Pacers,709,1885,0.376,13,2016-17,2016-17,Golden State Warriors
LA Clippers,841,2245,0.375,5,2016-17,2016-17,Golden State Warriors
Los Angeles Lakers,730,2110,0.346,28,2016-17,2016-17,Golden State Warriors
Memphis Grizzlies,767,2169,0.354,11,2016-17,2016-17,Golden State Warriors
Miami Heat,808,2213,0.365,15,2016-17,2016-17,Golden State Warriors
Milwaukee Bucks,720,1946,0.37,13,2016-17,2016-17,Golden State Warriors
Minnesota Timberwolves,601,1723,0.349,24,2016-17,2016-17,Golden State Warriors
New Orleans Pelicans,768,2196,0.35,21,2016-17,2016-17,Golden State Warriors
New York Knicks,704,2022,0.348,24,2016-17,2016-17,Golden State Warriors
Oklahoma City Thunder,692,2116,0.327,10,2016-17,2016-17,Golden State Warriors
Orlando Magic,701,2139,0.328,26,2016-17,2016-17,Golden State Warriors
Philadelphia 76ers,831,2443,0.34,27,2016-17,2016-17,Golden State Warriors
Phoenix Suns,615,1854,0.332,29,2016-17,2016-17,Golden State Warriors
Portland Trail Blazers,852,2272,0.375,15,2016-17,2016-17,Golden State Warriors
Sacramento Kings,737,1960,0.376,23,2016-17,2016-17,Golden State Warriors
San Antonio Spurs,753,1927,0.391,2,2016-17,2016-17,Golden State Warriors
Toronto Raptors,725,1996,0.363,5,2016-17,2016-17,Golden State Warriors
Utah Jazz,791,2128,0.372,5,2016-17,2016-17,Golden State Warriors
Washington Wizards,756,2030,0.372,9,2016-17,2016-17,Golden State Warriors
Atlanta Hawks,917,2544,0.36,27,2017-18,2017-18,Golden State Warriors
Boston Celtics,939,2492,0.377,4,2017-18,2017-18,Golden State Warriors
Brooklyn Nets,1041,2924,0.356,23,2017-18,2017-18,Golden State Warriors
Charlotte Hornets,824,2233,0.369,20,2017-18,2017-18,Golden State Warriors
Chicago Bulls,906,2549,0.355,24,2017-18,2017-18,Golden State Warriors
Cleveland Cavaliers,981,2636,0.372,6,2017-18,2017-18,Golden State Warriors
Dallas Mavericks,967,2688,0.36,27,2017-18,2017-18,Golden State Warriors
Denver Nuggets,940,2536,0.371,14,2017-18,2017-18,Golden State Warriors
Detroit Pistons,886,2373,0.373,19,2017-18,2017-18,Golden State Warriors
Golden State Warriors,926,2369,0.391,3,2017-18,2017-18,Golden State Warriors
Houston Rockets,1256,3470,0.362,1,2017-18,2017-18,Golden State Warriors
Indiana Pacers,741,2010,0.369,8,2017-18,2017-18,Golden State Warriors
LA Clippers,777,2196,0.354,18,2017-18,2017-18,Golden State Warriors
Los Angeles Lakers,822,2384,0.345,21,2017-18,2017-18,Golden State Warriors
Memphis Grizzlies,758,2152,0.352,29,2017-18,2017-18,Golden State Warriors
Miami Heat,903,2506,0.36,15,2017-18,2017-18,Golden State Warriors
Milwaukee Bucks,718,2024,0.355,15,2017-18,2017-18,Golden State Warriors
Minnesota Timberwolves,658,1845,0.357,12,2017-18,2017-18,Golden State Warriors
New Orleans Pelicans,837,2312,0.362,8,2017-18,2017-18,Golden State Warriors
New York Knicks,673,1914,0.352,22,2017-18,2017-18,Golden State Warriors
Oklahoma City Thunder,881,2491,0.354,8,2017-18,2017-18,Golden State Warriors
Orlando Magic,844,2405,0.351,26,2017-18,2017-18,Golden State Warriors
Philadelphia 76ers,901,2445,0.369,5,2017-18,2017-18,Golden State Warriors
Phoenix Suns,763,2286,0.334,30,2017-18,2017-18,Golden State Warriors
Portland Trail Blazers,845,2308,0.366,7,2017-18,2017-18,Golden State Warriors
Sacramento Kings,738,1967,0.375,24,2017-18,2017-18,Golden State Warriors
San Antonio Spurs,696,1977,0.352,12,2017-18,2017-18,Golden State Warriors
Toronto Raptors,968,2705,0.358,2,2017-18,2017-18,Golden State Warriors
Utah Jazz,887,2425,0.366,8,2017-18,2017-18,Golden State Warriors
Washington Wizards,814,2173,0.375,17,2017-18,2017-18,Golden State Warriors
Atlanta Hawks,1067,3034,0.352,26,2018-19,2018-19,Golden State Warriors
Boston Celtics,1032,2829,0.365,9,2018-19,2018-19,Golden State Warriors
Brooklyn Nets,1047,2965,0.353,14,2018-19,2018-19,Golden State Warriors
Charlotte Hornets,977,2783,0.351,17,2018-19,2018-19,Golden State Warriors
Chicago Bulls,745,2123,0.351,27,2018-19,2018-19,Golden State Warriors
Cleveland Cavaliers,847,2388,0.355,28,2018-19,2018-19,Golden State Warriors
Dallas Mavericks,1022,3002,0.34,22,2018-19,2018-19,Golden State Warriors
Denver Nuggets,903,2571,0.351,4,2018-19,2018-19,Golden State Warriors
Detroit Pistons,993,2854,0.348,16,2018-19,2018-19,Golden State Warriors
Golden State Warriors,1087,2824,0.385,3,2018-19,2018-19,Golden State Warriors
Houston Rockets,1323,3721,0.356,5,2018-19,2018-19,Golden State Warriors
Indiana Pacers,779,2081,0.374,11,2018-19,2018-19,Golden State Warriors
LA Clippers,821,2118,0.388,11,2018-19,2018-19,Golden State Warriors
Los Angeles Lakers,847,2541,0.333,20,2018-19,2018-19,Golden State Warriors
Memphis Grizzlies,811,2368,0.342,22,2018-19,2018-19,Golden State Warriors
Miami Heat,928,2658,0.349,17,2018-19,2018-19,Golden State Warriors
Milwaukee Bucks,1105,3134,0.353,1,2018-19,2018-19,Golden State Warriors
Minnesota Timberwolves,827,2357,0.351,21,2018-19,2018-19,Golden State Warriors
New Orleans Pelicans,842,2449,0.344,22,2018-19,2018-19,Golden State Warriors
New York Knicks,823,2421,0.34,30,2018-19,2018-19,Golden State Warriors
Oklahoma City Thunder,932,2677,0.348,9,2018-19,2018-19,Golden State Warriors
Orlando Magic,937,2633,0.356,14,2018-19,2018-19,Golden State Warriors
Philadelphia 76ers,889,2474,0.359,7,2018-19,2018-19,Golden State Warriors
Phoenix Suns,790,2400,0.329,28,2018-19,2018-19,Golden State Warriors
Portland Trail Blazers,904,2520,0.359,5,2018-19,2018-19,Golden State Warriors
Sacramento Kings,927,2455,0.378,17,2018-19,2018-19,Golden State Warriors
San Antonio Spurs,812,2071,0.392,11,2018-19,2018-19,Golden State Warriors
Toronto Raptors,1015,2771,0.366,2,2018-19,2018-19,Golden State Warriors
Utah Jazz,993,2789,0.356,8,2018-19,2018-19,Golden State Warriors
Washington Wizards,930,2731,0.341,25,2018-19,2018-19,Golden State Warriors
Atlanta Hawks,805,2416,0.333,26,2019-20,2019-20,Los Angeles Lakers
Boston Celtics,905,2487,0.364,5,2019-20,2019-20,Los Angeles Lakers
Brooklyn Nets,941,2746,0.343,14,2019-20,2019-20,Los Angeles Lakers
Charlotte Hornets,785,2231,0.352,23,2019-20,2019-20,Los Angeles Lakers
Chicago Bulls,793,2282,0.348,24,2019-20,2019-20,Los Angeles Lakers
Cleveland Cavaliers,727,2070,0.351,28,2019-20,2019-20,Los Angeles Lakers
Dallas Mavericks,1136,3095,0.367,12,2019-20,2019-20,Los Angeles Lakers
Denver Nuggets,801,2234,0.359,6,2019-20,2019-20,Los Angeles Lakers
Detroit Pistons,791,2157,0.367,26,2019-20,2019-20,Los Angeles Lakers
Golden State Warriors,678,2032,0.334,30,2019-20,2019-20,Los Angeles Lakers
Houston Rockets,1126,3261,0.345,8,2019-20,2019-20,Los Angeles Lakers
Indiana Pacers,743,2046,0.363,7,2019-20,2019-20,Los Angeles Lakers
LA Clippers,895,2410,0.371,4,2019-20,2019-20,Los Angeles Lakers
Los Angeles Lakers,782,2242,0.349,3,2019-20,2019-20,Los Angeles Lakers
Memphis Grizzlies,798,2297,0.347,16,2019-20,2019-20,Los Angeles Lakers
Miami Heat,979,2584,0.379,8,2019-20,2019-20,Los Angeles Lakers
Milwaukee Bucks,1007,2840,0.355,1,2019-20,2019-20,Los Angeles Lakers
Minnesota Timberwolves,853,2540,0.336,28,2019-20,2019-20,Los Angeles Lakers
New Orleans Pelicans,982,2656,0.37,21,2019-20,2019-20,Los Angeles Lakers
New York Knicks,631,1872,0.337,25,2019-20,2019-20,Los Angeles Lakers
Oklahoma City Thunder,770,2171,0.355,8,2019-20,2019-20,Los Angeles Lakers
Orlando Magic,807,2354,0.343,18,2019-20,2019-20,Los Angeles Lakers
Philadelphia 76ers,848,2307,0.368,12,2019-20,2019-20,Los Angeles Lakers
Phoenix Suns,831,2320,0.358,16,2019-20,2019-20,Los Angeles Lakers
Portland Trail Blazers,952,2525,0.377,14,2019-20,2019-20,Los Angeles Lakers
Sacramento Kings,914,2511,0.364,20,2019-20,2019-20,Los Angeles Lakers
San Antonio Spurs,760,2021,0.376,19,2019-20,2019-20,Los Angeles Lakers
Toronto Raptors,995,2663,0.374,2,2019-20,2019-20,Los Angeles Lakers
Utah Jazz,963,2537,0.38,8,2019-20,2019-20,Los Angeles Lakers
Washington Wizards,864,2345,0.368,22,2019-20,2019-20,Los Angeles Lakers
Atlanta Hawks,895,2402,0.373,11,2020-21,2020-21,Phoenix Suns
Boston Celtics,979,2618,0.374,16,2020-21,2020-21,Phoenix Suns
